	3399-OG-10	3399-OG-13	3399-OG-14	3399-OG-15	3399-OG-16	3399-OG-19	3399-OG-20	3399-OG-31	3399-OG-32	3399-OG-33	3399-OG-34	3399-OG-9
FDX1P1	0	0	0	0	0	0	0	0	0	0	0	0
AL109923.1	0	1	1	0	0	0	0	1	2	0	1	0
DYNLRB1	54	51	42	30	50	16	12	45	36	34	25	78
Y_RNA	0	1	0	0	0	0	0	1	0	0	0	0
MAP1LC3A	11	5	18	8	11	3	3	9	16	10	16	8
PIGU	2	6	4	1	4	4	1	13	15	9	8	8
AL118520.1	0	0	0	0	0	0	0	0	0	0	0	0
NCOA6	87	337	221	113	49	37	28	149	100	132	81	109
TP53INP2	3	22	53	0	62	18	4	56	8	47	53	5
AL109824.1	0	0	0	0	0	0	0	0	0	0	0	0
HMGB3P1	0	0	0	0	0	0	0	0	0	0	0	0
GGT7	5	6	3	1	1	1	0	8	14	9	3	5
ACSS2	5	2	2	18	7	3	4	14	8	16	4	2
GSS	37	55	31	20	15	8	13	17	17	27	23	14
MYH7B	0	0	0	0	0	0	2	0	0	0	0	0
MIR499A	0	0	0	0	0	0	0	0	0	0	0	0
MIR499B	0	0	0	0	0	0	0	0	0	0	0	0
TRPC4AP	45	40	38	7	27	31	18	29	28	23	33	38
RNU6-407P	0	1	0	0	0	0	0	1	0	0	1	0
EDEM2	20	16	22	1	6	3	3	29	4	15	11	16
AL135844.1	0	0	0	0	0	0	0	0	0	0	0	0
PROCR	3	6	2	0	0	0	0	4	0	1	4	2
AL356652.1	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP483	0	0	0	0	0	0	0	0	0	0	0	0
MMP24OS	4	29	25	16	36	15	10	28	23	32	39	9
MT1P3	0	0	0	0	0	0	0	0	0	0	0	0
MMP24	0	1	0	3	0	1	0	1	0	0	0	0
AL121753.2	0	0	0	0	0	0	0	0	0	0	0	0
AL121753.1	0	0	0	0	0	0	0	0	0	0	0	0
EIF6	198	140	103	175	115	46	38	84	79	73	48	164
FAM83C-AS1	0	0	0	0	0	0	0	0	0	0	0	0
FAM83C	0	0	0	0	0	1	0	0	0	0	0	0
UQCC1	20	24	19	7	3	9	1	18	18	8	10	25
GDF5-AS1	9	5	11	0	5	13	2	16	4	20	7	21
GDF5	1	0	0	0	0	0	0	0	0	0	0	1
MIR1289-1	0	0	0	0	0	0	0	0	0	0	0	0
CEP250	14	41	15	3	2	4	9	11	8	8	8	27
CEP250-AS1	5	2	1	0	0	4	2	5	3	0	2	3
FO393401.1	0	0	0	0	0	0	0	0	0	0	0	0
C20orf173	0	0	0	0	0	0	0	0	0	0	0	0
ERGIC3	87	77	73	40	39	26	22	85	66	116	54	100
RPL36P4	0	0	0	0	0	0	0	0	0	0	0	0
FER1L4	0	0	0	0	0	0	0	1	0	0	0	1
RPL37P1	0	0	0	0	0	0	0	1	0	0	0	1
SPAG4	1	4	1	0	0	0	5	0	5	7	5	9
CPNE1	81	95	50	38	34	32	29	70	113	55	74	113
